,region_name,Административная деятельность_зарплата,Водоснабжение_зарплата,Гос. управление и военн. безопасность_зарплата,Гостиницы и общепит_зарплата,Добыча полезных ископаемых_зарплата,Здравоохранение_зарплата,ИТ и связь_зарплата,Научная и проф. деятельность_зарплата,Обрабатывающие производства_зарплата,Образование_зарплата,Операции с недвижимостью_зарплата,Прочие услуги_зарплата,Сельское хозяйство_зарплата,Спорт и досуг_зарплата,Строительство_зарплата,Торговля_зарплата,Транспортировка и хранение_зарплата,Услуги ЖКХ_зарплата,Финансы и страхование_зарплата,social_help,organizations,mun_workers_salary,market,square_house,population,migration,region_cluster,migration_scaled,cluster_label
0,Алтайский край,34179.49166666666,29785.54511904762,47455.825000000004,27329.23075268817,60771.55138888889,33951.59606164384,36690.81232394366,36693.5698630137,43276.78392857143,35134.587157534246,43863.78403846154,32480.909464285713,44535.75616197183,33720.88109589041,59471.14631987578,40555.42254464285,48602.18595890411,44424.61866438356,46222.93435846561,10045.306188891149,75.4927536231884,34990.027536231886,1.172406120109733,31.115072463768115,31.115072463768115,-1.760383136909475,1.0,0.16749548489222763,1
1,Амурская область,54536.59403846154,43352.77361111111,62935.36615853659,59559.67390625,105332.67387218046,61054.70457317073,89003.74852941175,99398.32119360902,93407.36959876542,54659.46981707317,49499.251923076925,63981.093181818185,61289.78256578947,57629.83201219512,86064.92859821429,65489.331249999996,88744.19172473867,83445.93475609756,59580.213362068964,5856.458333333333,83.25,54632.25357142858,1.2,29.560714285714287,29.560714285714287,-5.386253735707092,1.0,0.12485301465712106,1
2,Архангельская область,51531.59965986394,44585.80788690476,71832.77906504065,46206.72101449275,117129.9643939394,57628.06648373983,67220.51995614036,77012.47452090592,52827.107181259606,56766.690955284554,44936.64152777778,42812.864756944444,80190.45193922306,61199.88947916667,75166.26098389355,58073.734883855985,72716.8330284553,68583.2640922619,94583.47614774115,13815.145833333334,52.26315789473684,53680.178947368426,1.016,46.69157894736842,46.69157894736842,-4.137795502604983,1.0,0.13953565199737378,1
4,Астраханская область,31780.033854166668,37615.044117647056,53447.848660714284,35265.88035714286,96081.449,44174.37767857143,75282.60307971014,58437.15223214286,61165.18020833333,41244.829464285714,37600.47275641026,34431.064880952385,64589.146875,42474.666964285716,69990.9810185185,49059.26851851852,60530.27916666667,55360.76517857143,59795.1480026455,16429.284090909092,249.72727272727272,40270.87727272727,1.0094356261022928,30.914056252493832,30.923587200771777,-9.073423749694154,1.0,0.08148962556503372,1
5,Белгородская область,24918.467109375,26439.614516129033,46159.166666666664,28359.235166666665,48202.0875,35407.309469696964,31891.3,32013.990530303032,56541.33148148148,37036.84886363636,26976.345250000002,42874.120234375,51503.91458333333,34623.92431818182,55252.26766666667,43135.1,38916.87045454546,43793.392424242425,61705.96125,8716.8671875,74.51612903225806,36320.00322580645,1.659,32.70645161290322,32.70645161290322,-2.8351476889906855,1.0,0.15485559216217026,1
6,Брянская область,40863.951875,37261.987916666665,51234.924375,38387.152083333334,76313.64441964286,41700.69973057644,54901.262763157894,53483.121315789474,63060.77229166667,42309.275,37805.8825,39526.03308035714,44705.495,45295.526874999996,69010.63416666667,52411.493125,55964.56907894737,44618.76213095238,81082.75301587301,14414.0,161.9,41644.115000000005,1.6516594516594516,34.525,34.525,-9.713850205395337,1.0,0.07395781621583394,1
7,Владимирская область,37898.705021929825,27107.448085585584,46862.365460526315,34958.66294642857,69245.06058201058,40463.517229729725,38011.79652777778,36790.94256756757,53026.67341954023,37318.88092105263,31068.105476190474,33581.45516129032,40218.85641891892,37582.28585526316,57489.02217261905,43280.98026315789,50267.15460526316,41746.4884009009,47842.870689655174,10546.618421052632,114.02631578947368,37100.92105263158,1.2655352544603364,28.121052631578944,28.121052631578944,-1.9044259235764673,1.0,0.16580145305196672,1
8,Волгоградская область,47596.82481707317,38902.785833333335,54960.92220588236,37774.747777777775,54418.95714285714,44858.105833333335,52728.892850000004,47866.35489795919,56213.71682432432,47156.01156862745,29697.994767441858,40289.48212962963,56952.94426470589,50743.130784313726,64658.402586206896,45702.12534313725,60639.96340336135,55166.18289215687,76233.6711734694,14026.923076923076,68.07142857142857,47665.10357142857,1.0144949166503336,39.00666666666667,39.00666666666667,-2.55232345149534,1.0,0.15818177929448585,1
9,Вологодская область,38305.118382352935,34104.78156682028,49483.73272058824,31211.10812807882,65354.80906245431,44036.27242647059,45789.091911764706,54419.71323529412,54816.320703125,41227.45992647059,36108.010392416225,39141.14264705883,55944.50871212121,41337.71801470588,58737.5471969697,48226.368014705884,50467.57392473119,52152.08235294118,46163.33235294118,12931.014705882353,164.8235294117647,39653.99411764706,1.336629342164947,36.22941176470588,36.22941176470588,6.749441030811035,1.0,0.26757625553482794,1
10,Воронежская область,36364.83973214286,55492.228125,66439.5,49245.384999999995,85660.675,56069.68125,75719.1875,51489.40208333333,45759.465625,50371.66041666667,40567.42,37430.225,40086.44583333333,53794.77291666667,115583.97,50123.520000000004,76263.105,61086.145833333336,59664.597499999996,5398.375,58.0,49895.13333333333,1.2521739130434784,25.76,25.76,-8.703820156451735,1.0,0.08583639134008779,1
11,Еврейская автономная область,48118.421634615384,38981.839687499996,58506.97611003861,42037.647000000004,99335.64952691045,50679.364642857145,63594.10627705628,51709.713690476194,72652.50326086956,46925.059025096525,47402.88509615384,54714.11828947368,42999.38734375,43768.58541666667,97363.30863095238,48848.31785714286,96501.63607142858,57113.98345588235,58210.85828571429,5512.198275862069,43.371428571428574,43843.19142857143,1.2483463203463203,24.332222222222224,24.332222222222224,-4.911002626026263,1.0,0.13044226025940112,1
12,Забайкальский край,32931.41416666666,32679.362500000003,46285.91574074075,29685.4375,39401.3875,34046.83888888889,36041.43260869566,37823.5225310559,40017.43295454545,33846.086111111115,32532.085,24236.211249999997,29968.901315789473,33586.688425925924,60442.72045454546,42849.66342592593,36051.7685,45674.843981481485,52453.843518518515,10743.9375,64.29629629629629,34010.851851851854,1.2526143790849673,34.85259259259259,34.85259259259259,-1.7034389606098077,1.0,0.16816518345889087,1
13,Ивановская область,57866.069871794876,50032.55442857143,74944.07410714285,51985.766974206344,94687.11767241379,60537.9225,77369.10922619047,71471.62232142857,67503.66195054945,57196.14077380953,56886.648950216455,54355.752,63354.630792682925,59739.61666666666,82625.08653846153,60623.063318452376,74638.19234693877,82308.9857142857,62853.69523809524,12344.154761904761,96.38095238095238,56967.80238095239,1.5021592442645075,26.466666666666665,26.466666666666665,-8.809627908443014,1.0,0.08459202704412316,1
14,Иркутская область,29915.076136363637,22616.10544871795,51784.26153846154,29216.027500000004,323756.17500000005,31408.759615384617,30742.352272727272,38751.63181818182,30280.19431818182,34199.185576923075,24404.571875,27353.640625,25531.36923076923,30436.795192307694,65625.85,41958.14431818182,31112.522222222222,46969.22291666667,50530.30551948052,75555.0,94.3076923076923,34432.307692307695,1.2178713118172155,19.407999999999998,19.407999999999998,-3.747824978350295,1.0,0.14412194541849419,1
15,Кабардино-Балкарская Республика,56286.981160714284,41247.431611969114,55060.623986486484,37877.342156862745,95682.66321877709,46490.42398648649,64374.09439189189,65607.22263513513,60922.16388248847,43572.61689189189,39355.858125,31193.64644230769,71398.583682266,43664.20225225225,75395.70950255102,55661.74695945946,52319.297673160174,52089.21928571429,63950.92386363636,6761.215909090909,81.77272727272727,43945.068181818184,1.3947349947349947,31.0,31.0,13.431270163349069,1.0,0.34615867929667077,1
16,Калининградская область,37631.57596560846,35060.88892857143,46773.814732142855,36518.6852443609,58034.069285714286,43852.90240384615,38951.94419642857,51935.47767857143,64406.198295454546,43306.11785714286,42141.59046296296,34291.0041765873,65568.83988095238,49021.330357142855,66361.25446428571,50251.11830357143,56029.572,44807.316847826085,63537.15069444444,8512.776785714286,74.76923076923077,42406.05,1.4392138261013034,37.16423076923077,37.16423076923077,12.326953949088757,1.0,0.3331712408281394,1
17,Калужская область,98531.60859375,87113.95859375,116261.94921875,87012.78020833334,185996.73594751503,109741.79609375,103782.14944196428,97769.92359375,144097.4953125,99793.48046875,82261.34659090909,101082.87083333333,118212.27583333335,95223.2203125,157601.78988095236,117508.13173076922,107507.01171875,109749.71171875,97740.24151785714,5961.583333333333,49.76923076923077,101432.01538461538,1.366004244645958,29.91142857142857,29.91142857142857,1.6083742254831566,0.0,0.20711414519487623,1
18,Камчатский край,28453.92589285714,29061.08125,47650.65,35009.11875,56956.37560744095,33963.74652777778,45918.25,29993.85037878788,49484.13229166667,31608.510416666668,40892.20625,39815.475,36075.958035714284,33046.475,51321.65520833334,37437.54583333333,44145.439999999995,48127.794642857145,60252.702142857146,9088.395833333334,45.5,30320.74166666667,1.9039505532090975,19.774166666666666,19.774166666666666,-2.701876613883193,1.0,0.1564229420437012,0
19,Карачаево-Черкесская Республика,38322.7306122449,39118.5641563147,60324.74730392156,34552.200245098036,111466.50643939394,50455.27524509804,46942.15931372549,54989.45147058823,59986.40629251701,50151.84730392157,44605.50273809524,43454.55205026455,65532.15378306879,51407.8693627451,79651.72451874366,53875.319132653065,66783.88897058823,51946.17549019608,58445.3363372093,19989.727941176472,209.08823529411765,52481.85151515152,1.2829734567159687,29.387878787878787,29.387878787878787,-3.949818838787124,1.0,0.1417463732775005,1
20,Кемеровская область,32005.841249999998,38149.96156462585,44315.10941820276,29624.974392097265,48951.398611111115,36904.75443548387,36182.12478070176,32808.513819444444,45286.84343220339,35163.6209389401,53435.05487804878,28899.754791666666,43266.96438172043,38922.33830645162,55119.987708333334,40714.0638248848,42950.975614754105,47688.8041186636,48085.06451612903,6121.061111111111,44.53333333333333,34538.65714285714,1.3136507936507937,34.57333333333333,34.57333333333333,-2.187369568184222,1.0,0.16247386161850524,1
21,Кировская область,26378.911496299403,29150.480630630635,44716.58223214286,23442.143154761903,54945.177083333336,31909.71738095238,31174.502960526315,32604.648245614033,48064.43402777778,34149.37186011905,33730.94869047619,34238.94938672439,42332.98728070175,37279.14306547619,52950.729166666664,41194.929032738095,44185.79509330759,44922.96302083333,56056.84722222222,13048.788461538461,39.827586206896555,33791.82068965517,1.067186507072051,38.451034482758615,38.451034482758615,-2.791801227712758,1.0,0.15536537322977212,1
22,Костромская область,44081.098967391306,38709.09861111111,54456.48206521739,37574.960277777776,80374.40320512821,48007.511413043474,52811.025271739134,58373.4,62772.43016304348,43901.264945652176,47631.018294573645,37681.63589015152,54749.140760869566,44609.07472826087,72797.3442026578,53109.64320652174,63196.0389673913,52521.652717391305,67199.99972826087,28938.148659130624,195.37777777777777,43356.67333333333,1.8900305567985303,27.909111111111113,27.909111111111113,30.90991348199385,1.0,0.5517182841299253,1
23,Краснодарский край,46326.057331349206,50645.67782608696,67466.18237704918,51420.15550976801,96812.58801843318,56175.442083333335,70963.89421296296,65211.872754237294,72060.76415372672,55820.95614754099,41167.99336363636,55476.75895833333,52738.268462643675,55088.45635245901,92835.73913043478,57566.27204166667,68699.73979166667,67311.51762295082,59893.38275862068,8480.69349630246,83.98275862068965,56512.222413793104,1.2314962388263084,29.59896551724138,29.59896551724138,6.699142155918563,1.0,0.26698470980339095,1
24,Красноярский край,27641.324249999998,27144.85885416667,47493.948,32424.711742424242,59013.6,37850.8365,36954.6234375,32209.425,44385.98722826087,38898.50525,30705.188454861112,45774.92291666666,35567.8425,38383.159,54293.09797077922,38202.09725,44313.42575,40382.9795,42259.79342105263,6639.721153846154,88.6923076923077,38064.41153846154,1.1159747194072138,31.481923076923074,31.481923076923074,-3.9116135833272057,1.0,0.14219569059988768,1
25,Курганская область,32206.31010044643,31269.74794372294,48268.37159090909,26210.557258064517,61099.53333333333,38978.265530303026,42206.87715517241,44714.159965437786,51167.72702380953,37668.2643939394,32889.26309523809,36851.24705882353,58368.354296875,41546.942338709676,59671.015249433105,45484.198046875,49523.479296875,42575.787759740255,47190.422265625,10982.34090909091,58.06060606060606,37530.548484848485,1.275515350877193,38.21515151515151,38.21515151515151,1.8274697702117901,1.0,0.2096908436705012,1
26,Курская область,43344.22986111111,52087.58862433863,64738.17083333333,52159.342647058824,82264.88249999999,57215.290972222225,69245.94174603175,90020.78333333334,88956.39444444444,53766.59930555555,52430.71614145658,54549.647420634916,67657.24933473389,60389.35972222223,90969.8000330688,60847.492361111115,77736.70972222222,70010.07685185185,72855.1765873016,32663.341880528867,184.27777777777777,55429.194444444445,1.2902678709275681,30.174444444444443,30.174444444444443,60.348137312117665,1.0,0.8979299177901939,1
27,Ленинградская область,37126.70694444444,33122.84802631579,47088.260625,37038.42013888889,52781.46,38736.246875,45033.299999999996,43513.027083333334,63170.31710526315,39447.999375,38197.791176470586,28192.430555555555,62084.94625,45271.3975,58408.11887254902,46390.886249999996,52189.33125,53155.62666666666,46403.6925,14180.2125,180.45,38408.54,1.267061263926204,38.1455,38.1455,-4.00260644623931,1.0,0.14112555851916114,1
28,Липецкая область,79590.23529411765,76993.275,128023.85588235293,76196.9375,183524.55915960026,119252.19411764706,100708.48308823528,143523.69779411764,115635.27666666666,105773.1205882353,73389.34285714287,95762.52678571429,170006.66764705884,107041.69338235294,110222.04038461538,114973.2525,112963.61397058824,112470.22499999999,86811.45661764705,2261.1388888888887,45.77777777777778,101802.07777777777,1.6363636363636365,40.09111111111111,40.09111111111111,-1.3890754248913642,0.0,0.17186229215309579,1
29,Магаданская область,104241.41167480667,124217.1563301282,118263.43983217592,82509.85651222651,322128.24362103175,234965.1737962963,215408.20394824873,171931.04114251456,144648.45756632654,121028.66934315683,90108.7316505102,125688.64818090787,116747.75142276424,105992.79379886283,120001.3899332172,149193.5549061033,121561.5840730042,156649.54998964805,246476.21818172568,1092122.0,42.316326530612244,106264.764769412,1.0395028145028145,30.858129878135607,30.809907762146707,35.45861924360255,2.0,0.6052138639534245,0
30,Москва,67170.51767399267,56618.06243506494,72826.90195783132,64631.14200000001,107050.12400731453,73260.23738698011,100309.3698076923,102684.2423705357,91971.84217329546,66217.14722222222,75075.44979166667,54695.92371240602,64649.732738095234,66344.6450617284,98872.6427014652,79851.5759375,85131.91765822785,68495.40266233766,139343.61326237055,56569.41904761904,173.83050847457628,65870.59322033898,1.7614426346160454,31.70740740740741,31.70740740740741,69.0271117725771,0.0,1.0,2
31,Московская область,73615.45172902494,72205.15276515152,90292.36364583333,63138.89097222223,197446.9208333333,75123.99979166668,95103.55896825397,103906.3875,105488.4207017544,73716.0021875,61592.20941176471,65598.03066666666,128082.25,78591.13270833333,119447.97361344537,67248.58845755694,87337.68795238095,87992.20636904762,112463.87193181818,9111.10294117647,96.91666666666667,75844.09090909091,1.3524876949534483,36.6,36.6,2.8579697998838145,0.0,0.2218101583689181,0
32,Мурманская область,84275.775,85374.90625,120923.07500000001,64857.5,161091.85625,109450.325,119863.56875,110739.64374999999,125337.2125,83845.8,88817.23125,82946.32857142857,99840.59642857143,97010.31875,100513.1125,95731.29375,121685.49375,89596.03125,130567.25,9641.5,23.0,94939.45074614263,1.2150729768033224,27.46,27.46,20.577269577269576,0.0,0.4302000312989303,0
33,Ненецкий автономный округ,32313.637524350648,33891.830589430894,46206.05184659091,36097.002458333336,47786.11590909091,40741.01363636364,41188.25083198052,44997.52209302325,49977.72516447368,42146.82357954545,31734.81660714286,33552.330982142856,48547.25941780822,41183.55823863636,63580.77229166667,44653.37613636364,44084.52450081169,54838.75894886363,49010.929119318185,17193.303921568626,112.86,43796.004,1.1971176667433951,34.506,34.506,-0.29252467454181524,1.0,0.18475840398581547,0
34,Нижегородская область,36107.36275862069,32377.09951923077,44617.691666666666,42211.21447368421,118162.66041666667,39695.051666666666,43358.42220238095,36374.265583333334,58163.03405797101,39810.903333333335,39536.76607142857,32939.00882352941,39226.6724137931,42978.74375,78555.31704545455,44936.04916666667,57296.353525641025,41538.90791666667,45157.25646551724,7245.943181818182,72.18181818181819,41458.87272727273,1.1830547403236773,44.981818181818184,44.981818181818184,0.8890864920158691,1.0,0.1986548786741605,1
35,Новгородская область,43673.60999999999,36913.28008658008,54794.44892857142,36573.73222789115,73744.34270833334,51724.60357142857,62270.02357142857,49361.36107142857,53062.1125,46577.5925,50606.833809523814,36313.41180555555,42808.92022058824,50711.069285714286,76697.05738636364,48334.54178571428,58443.73380952381,42776.88821428571,59559.38602941176,20884.628571428573,113.62857142857143,46046.8,1.3027209182774047,27.615714285714283,27.615714285714283,6.868109215267837,1.0,0.2689718664331406,1
36,Новосибирская область,38508.30081168831,29414.48313888889,51534.53257575758,33787.444500000005,78736.74166666665,39120.44886363636,41700.47840909091,37395.688257575755,39709.96783234127,37611.679924242424,29373.928787878787,32499.9315,40175.43939393939,36070.20037878788,55274.576953463205,36792.73143939394,44824.913257575754,45707.15795454545,56388.61417748917,11724.931818181818,125.15151515151516,37199.24545454546,1.282966666824887,29.37060606060606,29.37060606060606,-8.54797906199255,1.0,0.08766917854272155,1
37,Омская область,45760.29420731707,37747.893139097745,49408.17286585366,28947.904854910714,76673.35326530613,39499.04756097561,40207.14817073171,42735.696875,57745.72453703704,39103.50335365853,31520.606982600733,28878.726628787877,38624.19177631579,42039.685975609755,60569.57083333334,40517.784451219515,55604.35535714285,49458.017378048775,47522.59166666667,12065.548780487805,113.82926829268293,37140.79756097561,1.3130350328325369,30.916666666666668,30.916666666666668,-5.011308745455818,1.0,0.12926259854902672,1
38,Оренбургская область,35774.29074404762,31634.069903846153,46682.85133928571,32342.18888888889,81888.275,33646.58973214286,37040.25187830688,49340.23163043478,46319.07509398497,36901.8125,67526.64309006212,22785.739868421053,59550.795025510204,32566.938425925928,49423.57125,43612.54991071428,43639.49868421053,46679.47546296296,46533.191249999996,6889.435185185185,43.074074074074076,36991.26296296296,1.1481481481481481,32.977407407407405,32.977407407407405,-2.7056143954403002,1.0,0.15637898343170684,1
39,Орловская область,31407.082594417076,27574.210030864197,41114.298630952384,35264.35,68855.405,35644.674523809525,37213.79964285714,38092.80604761905,45312.99261904762,35503.947380952384,30063.2359375,37900.69464285714,53891.90150000001,36311.44892857143,58612.47694444445,43168.09547619047,49406.22276785714,37841.36026785714,56806.04258928572,8078.875,121.7,37240.89,1.0388351254480288,35.16733333333333,35.16733333333333,-0.5617198350510045,1.0,0.18159250318856845,1
40,Пензенская область,36920.256018518514,33041.54940476191,53038.42317073171,31227.71233766234,81368.84051587302,43925.99527439024,48111.44182098765,45209.85771604938,50276.14643719806,42353.338937282235,35730.833525345624,35734.46666666667,40703.33537087912,42110.95274390244,82172.71447115384,44285.11927264809,49606.69024390244,57479.28836962834,55245.70757839721,10437.194444444445,117.63636363636364,42717.204761904766,1.2022916666666668,27.709302325581394,27.709302325581394,-4.960158631865718,1.0,0.12986415537154858,1
41,Пермский край,47736.29799107143,40732.53879179331,70543.60885854342,41648.044565217395,98751.739372955,63744.47972689076,62592.90841836735,73518.853,66503.62722567287,58742.425630252095,49622.41091736695,48853.04479166667,64849.21324404762,60201.89170168067,91709.41035289115,56679.77727678572,74050.12448571429,47253.4897595705,77188.97905405406,9642.13496316244,95.91176470588235,57717.18823529412,1.3357682162575584,27.564705882352943,27.564705882352943,-5.762605472499046,1.0,0.1204268865599398,1
